City,Year,Month,PM2_5,PM10,NO2,SO2,CO,O3,Temperature_C,Humidity_pct,AQI
MetroB,2024,2,49.6,128.9,56.7,39.8,3.96,26.0,10.9,82.7,251
MetroE,2020,12,82.9,183.2,31.3,56.8,4.52,15.2,10.8,60.6,225
MetroB,2023,12,10.1,63.2,55.4,30.8,1.24,49.2,17.0,54.5,178
MetroA,2023,9,166.4,34.0,77.4,44.0,1.55,136.3,38.7,93.0,286
MetroD,2024,11,38.2,78.2,116.9,31.0,4.71,76.9,37.3,56.0,410
MetroD,2023,11,35.3,141.7,85.8,41.1,1.94,84.6,26.3,78.4,296
MetroD,2022,8,133.2,122.6,40.5,51.2,3.11,108.3,30.7,32.6,146
MetroA,2021,9,166.0,141.6,51.5,21.9,4.25,70.1,39.1,69.4,341
MetroA,2023,12,94.7,41.0,94.4,13.9,4.75,91.8,21.7,61.6,288
MetroD,2023,6,77.5,10.4,67.1,47.6,1.72,112.0,35.7,67.7,311
MetroE,2021,2,144.7,201.3,98.9,16.8,4.22,124.4,12.7,21.3,37
MetroC,2021,5,24.2,160.0,44.6,6.0,0.88,99.7,15.4,40.5,394
MetroC,2023,12,61.4,123.7,7.7,24.4,2.16,42.0,13.5,87.5,291
MetroB,2024,7,148.0,15.0,7.1,10.5,3.62,37.2,32.5,70.9,308
MetroB,2025,12,95.4,63.6,79.6,24.9,2.92,64.6,30.2,24.4,182
MetroB,2021,1,58.6,216.0,40.7,56.5,3.74,80.7,18.1,20.6,49
MetroE,2021,10,85.6,208.7,105.0,47.2,3.15,16.4,16.4,27.4,323
MetroD,2024,4,91.2,235.1,49.9,31.2,0.18,114.1,22.9,41.1,110
MetroB,2022,10,142.0,91.4,29.5,41.1,4.2,168.5,21.0,86.2,381
MetroE,2023,9,46.1,184.1,14.7,11.8,4.56,46.2,34.3,65.0,160
MetroC,2022,6,24.9,66.4,113.6,47.2,3.6,93.1,28.6,77.8,194
MetroA,2023,2,71.5,247.9,21.9,9.3,0.66,109.9,39.6,25.7,311
MetroB,2024,2,171.6,97.6,39.0,33.0,0.66,162.4,13.4,23.4,181
MetroA,2024,11,7.5,109.2,100.0,47.8,1.02,143.5,28.8,32.2,260
MetroB,2025,4,32.8,212.8,55.0,58.0,4.05,102.3,36.2,61.3,394
MetroD,2022,2,41.3,86.2,8.1,47.6,4.64,133.5,20.2,49.3,234
MetroA,2020,6,174.7,242.8,17.8,14.5,3.13,176.6,27.4,71.6,368
MetroC,2022,3,99.8,83.8,33.3,6.7,1.48,177.2,24.3,68.9,359
MetroC,2021,7,174.2,19.9,26.5,48.0,2.94,166.6,17.9,27.6,343
MetroE,2024,2,47.9,14.9,33.0,6.2,2.8,22.1,12.4,67.7,178
MetroC,2023,8,156.0,47.0,62.7,48.1,0.48,171.4,15.5,78.2,102
MetroC,2022,2,129.1,210.3,74.2,9.3,1.11,102.7,33.1,78.5,450
MetroE,2025,9,152.1,189.1,84.3,12.3,2.22,36.8,32.9,70.1,159
MetroA,2025,8,146.4,141.8,67.3,51.4,2.32,77.3,20.8,39.3,42
MetroD,2024,1,15.9,95.2,20.9,9.3,1.37,150.9,22.7,50.1,343
MetroA,2021,8,6.3,136.9,62.6,39.6,2.25,126.7,33.4,37.9,283
MetroD,2021,12,77.1,144.5,109.3,55.2,1.45,119.9,11.5,25.4,291
MetroC,2021,9,139.1,221.9,40.9,42.2,4.26,73.2,32.4,75.2,334
MetroA,2020,10,173.0,147.1,25.3,16.5,1.17,106.8,34.2,23.9,378
MetroD,2025,11,65.9,133.6,24.0,44.3,0.3,176.8,35.9,67.1,166
MetroA,2021,10,152.3,168.3,85.5,27.8,4.63,175.1,22.2,80.2,251
MetroD,2021,6,81.7,159.4,61.1,14.3,2.21,100.8,39.1,69.5,172
MetroB,2023,12,102.9,240.4,65.8,35.6,0.25,175.4,17.8,39.5,118
MetroC,2021,9,40.1,84.7,92.1,50.3,2.29,156.4,37.4,32.6,212
MetroD,2023,2,139.6,146.9,49.1,18.5,0.63,147.3,13.8,76.0,309
MetroC,2025,12,175.4,42.8,62.5,35.2,1.63,95.5,21.4,59.6,30
MetroA,2023,12,83.7,83.2,50.9,47.4,3.45,93.7,30.7,48.3,134
MetroE,2020,5,116.2,183.3,89.9,44.2,1.07,167.0,29.2,58.8,411
MetroC,2025,3,83.6,170.5,27.7,32.5,3.42,108.5,41.1,45.2,348
MetroE,2025,12,162.1,189.7,61.7,45.3,3.24,120.3,30.1,50.5,352
MetroB,2025,7,141.9,213.1,93.3,49.3,3.07,69.4,18.5,73.1,380
MetroE,2022,3,85.9,72.2,24.5,31.6,1.43,26.8,28.9,25.2,64
MetroD,2020,3,93.8,237.1,84.4,25.3,3.48,112.8,16.7,35.6,200
MetroC,2020,2,127.4,228.5,80.8,29.1,2.83,18.5,19.5,75.1,447
MetroE,2022,6,111.7,65.7,69.5,12.0,3.97,157.3,20.5,36.7,342
MetroB,2025,1,154.1,218.4,51.3,55.8,4.67,52.2,18.6,25.4,404
MetroB,2024,8,106.8,233.9,22.0,56.8,2.35,37.6,34.9,87.0,255
MetroC,2022,7,47.1,182.4,87.6,19.7,0.62,77.5,25.8,27.5,125
MetroA,2020,10,9.1,190.6,83.6,30.7,2.69,133.1,38.4,53.2,369
MetroC,2020,10,126.2,32.9,51.0,30.7,1.95,38.7,17.4,81.5,266
MetroE,2024,7,42.1,181.6,43.0,36.4,4.56,179.0,11.5,79.8,275
MetroC,2023,10,55.3,57.0,23.4,49.8,3.27,144.9,11.0,49.0,370
MetroE,2020,10,71.4,41.2,58.2,50.7,4.54,16.0,11.9,83.0,51
MetroC,2020,7,20.9,16.6,78.3,45.2,3.47,153.8,31.2,49.2,353
MetroC,2022,11,116.2,68.9,72.6,47.7,0.96,82.8,32.3,67.9,61
MetroC,2024,7,99.2,180.8,66.7,55.4,0.44,55.4,29.5,92.9,67
MetroC,2021,2,31.4,230.5,103.3,51.4,0.36,25.5,36.0,55.2,219
MetroA,2022,1,27.2,18.0,81.4,53.9,3.84,162.8,24.3,75.2,168
MetroA,2022,6,20.0,18.2,49.2,44.5,1.63,32.1,35.4,80.5,377
MetroC,2020,7,152.2,130.7,28.6,55.5,2.6,76.5,38.7,56.1,96
MetroD,2024,9,130.9,210.3,85.6,33.1,4.49,151.4,19.3,31.8,219
MetroD,2024,6,22.0,92.9,71.1,4.5,4.09,120.7,20.0,42.4,210
MetroC,2022,12,136.0,130.3,65.5,10.6,4.58,65.3,20.5,25.2,173
MetroD,2023,6,167.3,242.7,98.8,55.7,4.62,146.2,14.3,59.3,324
MetroC,2021,12,105.4,91.3,118.9,48.2,1.91,62.3,29.1,45.5,289
MetroB,2020,3,48.8,63.1,20.3,8.5,3.85,169.7,29.8,80.9,309
MetroC,2025,2,40.8,26.0,70.7,39.2,4.29,145.0,17.0,82.9,291
MetroD,2020,10,69.4,213.4,86.7,18.5,4.47,111.7,37.7,87.0,247
MetroD,2025,6,100.3,236.7,96.8,44.1,4.09,179.7,18.2,35.1,412
MetroE,2023,9,158.3,28.3,75.8,31.6,2.93,82.4,21.3,94.1,33
MetroB,2022,12,126.0,11.3,18.8,19.6,4.45,137.0,41.1,60.7,322
MetroE,2022,9,77.0,235.5,111.6,32.0,3.05,108.8,24.5,29.8,257
MetroE,2021,9,140.2,243.9,34.1,2.6,2.18,122.5,11.2,51.6,174
MetroA,2020,2,153.1,102.0,58.4,48.2,1.93,137.4,25.4,45.2,263
MetroA,2023,6,30.3,45.6,119.4,49.2,1.9,31.6,35.2,91.2,241
MetroC,2024,5,134.4,175.9,54.9,47.1,2.48,131.6,25.7,92.9,396
MetroD,2020,2,27.7,242.0,31.4,3.5,1.34,91.6,40.5,49.9,400
MetroB,2020,2,79.8,239.2,10.9,14.7,2.17,18.0,30.9,89.5,406
MetroE,2025,7,151.1,187.9,119.4,41.7,0.98,146.9,32.5,23.6,139
MetroA,2023,2,122.0,80.6,63.4,54.5,0.67,155.2,13.4,49.0,389
MetroB,2021,9,50.1,188.4,112.5,33.1,4.36,117.7,35.9,88.5,433
MetroE,2022,8,23.0,191.9,88.9,22.1,4.44,130.5,11.8,66.9,183
MetroA,2021,9,53.0,179.5,52.3,9.6,1.06,105.3,29.2,92.0,302
MetroE,2024,3,170.5,74.8,60.2,19.7,2.51,94.8,29.2,38.1,120
MetroE,2021,12,159.0,176.6,66.5,5.4,1.7,127.3,30.6,80.9,139
MetroC,2024,8,89.1,38.4,107.0,42.5,1.2,118.0,36.5,23.8,118
MetroA,2021,10,39.9,146.2,106.7,26.5,0.12,13.4,19.8,66.2,73
MetroB,2022,11,114.5,216.7,35.9,43.7,1.96,30.7,21.1,28.5,424
MetroB,2025,10,12.2,28.6,88.4,8.0,1.65,55.8,11.6,22.3,101
MetroD,2022,12,116.7,68.1,83.2,17.9,2.62,64.7,40.4,46.4,441
MetroB,2024,5,75.9,173.0,76.4,32.6,2.87,101.1,22.6,87.4,353
MetroC,2024,3,14.4,132.0,25.1,14.5,2.23,102.8,18.0,40.3,301
MetroC,2023,3,75.6,34.9,47.9,40.0,2.77,102.6,37.0,74.2,380
MetroE,2020,10,58.9,173.8,22.9,55.0,0.8,159.5,16.9,83.1,422
MetroC,2022,5,33.0,213.8,48.9,27.5,0.68,112.2,18.6,70.0,439
MetroE,2020,9,171.7,230.7,78.9,24.0,2.85,160.1,24.7,78.4,336
MetroD,2022,6,76.5,155.4,11.1,29.3,0.28,129.7,10.0,23.2,86
MetroE,2021,9,93.9,95.5,36.2,59.1,4.55,121.3,35.7,81.5,155
MetroE,2021,2,103.4,95.9,23.2,47.1,4.59,63.3,38.2,46.0,366
MetroA,2024,7,77.6,96.1,91.7,21.8,4.01,50.5,29.5,30.8,204
MetroA,2024,3,100.0,160.2,107.9,45.9,0.7,109.1,25.4,35.7,353
MetroB,2023,12,44.9,69.6,117.1,21.1,1.3,125.1,33.8,47.7,363
MetroB,2023,8,74.8,38.9,61.2,17.5,0.71,12.0,23.3,79.9,364
MetroA,2021,8,139.1,170.1,96.8,18.7,0.86,175.3,36.4,91.0,39
MetroD,2023,11,128.3,200.3,31.3,42.3,4.96,102.5,18.0,51.7,111
MetroB,2022,11,46.9,196.0,112.6,57.7,0.96,109.5,26.4,52.1,436
MetroA,2024,12,38.3,131.0,75.4,59.9,0.48,77.7,24.9,62.5,54
MetroD,2020,9,21.6,205.6,10.2,32.1,3.91,13.5,37.5,55.0,400
MetroD,2021,10,28.3,144.8,100.1,46.7,3.22,178.7,35.7,61.5,387
MetroD,2025,7,146.5,128.9,37.0,55.8,1.37,57.5,15.6,74.1,72
MetroC,2022,3,50.2,70.5,49.2,34.8,0.17,172.2,40.7,36.9,66
MetroE,2024,10,39.7,113.0,105.3,35.5,2.81,76.5,16.3,66.9,69
MetroB,2025,1,10.3,107.3,53.0,10.0,3.02,124.4,27.5,89.6,225
MetroB,2022,4,120.8,246.8,46.0,50.6,1.2,130.6,21.1,60.2,75
MetroE,2022,4,128.4,15.3,97.1,38.1,0.6,73.3,24.2,66.4,56
MetroC,2021,3,172.4,161.0,16.9,51.5,3.2,51.8,16.7,58.1,92
MetroB,2023,11,166.6,42.1,87.4,16.8,0.12,30.6,16.4,77.3,223
MetroD,2024,10,45.4,19.0,24.3,40.9,2.82,49.6,23.1,40.5,368
MetroD,2023,5,91.4,170.6,100.9,12.8,0.18,138.1,25.6,49.5,403
MetroE,2022,4,21.5,172.7,9.9,26.5,2.26,172.7,29.1,34.3,290
MetroD,2024,6,39.5,96.3,105.9,58.9,3.91,21.0,39.0,54.4,342
MetroB,2021,5,87.1,150.0,12.5,52.2,2.87,25.6,22.8,58.4,323
MetroC,2023,5,163.5,123.0,112.5,34.0,4.56,91.1,23.7,64.2,192
MetroB,2024,10,102.3,249.3,12.6,37.2,3.98,71.4,22.5,59.0,42
MetroE,2024,2,11.5,137.1,16.6,21.3,4.67,137.5,11.1,47.8,67
MetroD,2025,2,153.2,117.1,62.5,49.0,0.12,37.3,20.4,36.0,327
MetroB,2024,2,75.7,218.0,53.4,22.9,1.77,54.2,21.8,73.3,422
MetroB,2022,7,101.3,147.7,76.1,6.3,0.93,169.2,18.6,26.2,174
MetroE,2025,11,51.0,60.5,36.9,29.9,3.71,61.2,38.0,93.2,450
MetroE,2020,9,60.2,232.2,103.8,9.7,2.27,71.9,33.9,22.2,191
MetroD,2025,3,160.2,19.8,72.7,40.5,4.38,82.2,41.1,34.8,88
MetroE,2021,10,93.6,183.2,57.7,47.3,1.87,87.5,39.7,66.1,211
MetroB,2025,1,7.4,127.3,23.9,54.1,0.3,49.1,38.4,59.3,118
MetroA,2024,4,41.7,79.3,61.4,23.5,2.02,121.1,16.2,33.6,380
MetroE,2022,10,79.6,123.8,7.7,3.2,0.61,116.4,31.3,91.4,251
