country,year,population,gdp_billion_usd,solar_twh,wind_twh,hydro_twh,renewable_share_pct,co2_mt
Brazil,2015,184995841,1923.69,7.7,130.9,283.18,23.87,640.17
Brazil,2023,182651062,1258.27,158.7,43.56,199.31,69.37,633.37
Canada,2024,162506646,1208.5,100.8,91.19,276.52,67.25,439.48
Chile,2012,31358631,1927.01,164.74,63.9,195.86,8.99,787.05
Norway,2020,117549530,282.74,25.55,39.96,225.32,55.22,553.25
Brazil,2024,102426957,990.01,193.31,105.95,152.64,36.05,29.4
Norway,2019,113662553,2302.96,22.38,149.64,220.39,36.35,281.02
Brazil,2025,95496148,1200.88,110.1,125.42,99.08,32.02,650.05
Kenya,2010,94094285,1626.97,169.61,29.58,295.25,26.95,147.82
Chile,2020,152283309,1077.4,116.05,143.6,190.78,21.77,529.27
Brazil,2010,199941182,1542.99,50.13,106.6,119.71,68.43,172.57
Canada,2013,146120046,483.66,82.17,82.36,82.39,82.64,426.89
Japan,2022,166096855,993.51,29.44,63.36,140.07,20.53,542.14
Chile,2012,182418176,352.19,30.35,54.97,59.0,67.41,413.55
Kenya,2014,156298322,971.6,47.25,114.39,209.56,63.07,799.92
Kenya,2025,79533495,367.94,79.33,81.18,20.82,37.31,17.57
Spain,2016,105064229,2410.3,126.85,89.09,206.99,42.41,673.51
Spain,2015,24191727,1422.19,199.17,39.7,14.65,25.24,238.05
India,2025,149565998,1286.8,143.61,48.22,165.22,94.18,438.21
India,2024,148660590,561.98,106.86,132.48,197.83,27.28,701.1
Canada,2024,72548924,884.47,204.37,79.03,298.22,74.81,197.19
Kenya,2023,46555351,1548.05,196.43,146.44,242.6,56.31,430.5
Kenya,2020,190992992,745.73,143.61,171.43,156.75,86.01,653.99
Norway,2023,17914433,2481.37,216.89,22.84,260.49,27.47,572.0
Brazil,2022,133388077,372.59,158.47,113.01,115.68,11.8,637.73
Brazil,2022,140408937,1879.51,173.98,157.92,139.14,48.92,469.74
Norway,2024,172413711,1667.08,90.2,11.4,162.66,24.6,349.42
India,2025,74084808,820.71,71.61,98.52,43.53,81.72,632.76
Chile,2011,28729390,1572.93,209.34,2.93,279.18,19.22,370.65
Canada,2016,186842474,2275.33,220.65,54.34,262.95,83.89,83.74
Norway,2018,24124592,942.17,226.05,29.79,121.92,32.5,562.56
Spain,2023,177955476,246.17,24.7,38.42,27.99,58.43,420.36
Chile,2010,4164279,1745.08,204.46,177.87,129.58,16.9,65.95
Kenya,2012,198162800,2018.77,26.7,66.16,93.28,39.44,652.56
Kenya,2014,20364100,1335.66,3.11,117.0,134.83,70.02,506.18
Chile,2023,167376644,1722.68,215.13,15.6,34.64,72.72,475.76
Japan,2021,117263163,799.97,35.82,49.85,29.85,54.81,484.01
Norway,2010,178739344,2192.05,52.16,109.25,60.65,40.26,520.47
Canada,2025,105585371,299.6,125.4,106.91,160.84,92.99,789.64
Brazil,2014,105841101,2154.82,142.53,65.77,206.47,73.65,764.02
Chile,2010,159669188,187.48,66.28,7.17,22.84,76.04,410.22
Norway,2023,190390858,1017.65,160.49,96.78,50.04,12.52,72.43
Chile,2014,145986141,830.34,147.02,137.38,196.7,62.88,255.03
Kenya,2017,17544009,626.31,231.23,20.88,185.63,9.95,536.2
Japan,2013,5399727,1775.59,175.67,29.49,286.14,52.07,628.56
Chile,2015,101822941,334.79,195.5,48.38,266.49,74.43,33.19
Spain,2018,142621045,178.4,178.37,103.8,27.74,45.97,294.5
India,2015,100700437,410.13,193.56,160.97,203.87,15.38,595.22
Chile,2011,5298555,626.49,118.47,68.94,49.27,88.8,687.41
India,2017,88383070,635.69,229.05,57.59,248.67,56.44,104.33
Japan,2015,61910782,2014.76,245.37,171.73,25.33,46.86,233.02
Spain,2020,25188936,1391.67,2.98,36.12,171.32,32.35,501.95
Kenya,2021,160830824,2430.21,249.45,139.66,221.08,54.19,638.82
Chile,2010,112068230,79.3,135.84,114.47,209.57,5.86,274.66
Japan,2019,29903602,528.88,245.8,75.57,288.55,92.53,122.48
Brazil,2012,13784387,2304.76,224.42,93.56,211.75,38.52,779.9
Norway,2013,137674732,351.11,205.17,13.47,172.51,44.15,771.73
Norway,2019,72059221,2130.27,231.58,70.73,250.41,34.36,367.68
Brazil,2012,56415256,357.56,192.77,19.62,36.17,45.46,258.09
India,2021,57736924,1140.75,116.37,153.45,31.67,77.68,250.33
Kenya,2016,89991441,387.84,178.08,174.31,121.89,9.41,246.08
Brazil,2010,110553211,2139.41,139.43,99.02,32.94,14.17,637.11
Brazil,2010,18554194,2079.32,245.66,23.53,247.98,38.5,507.94
Canada,2018,22129219,74.06,17.05,162.45,135.81,16.59,725.01
Chile,2013,13461205,2356.86,13.61,166.34,132.78,70.2,401.94
Norway,2023,48387582,897.78,227.17,49.5,136.57,18.38,495.14
Norway,2019,135920197,1041.74,138.12,10.98,87.53,17.35,167.57
Chile,2010,104676046,1959.15,90.42,98.01,147.98,87.14,406.89
Spain,2018,50268956,84.64,149.68,5.27,244.15,30.28,648.84
India,2021,158763330,2499.02,243.52,18.02,198.78,28.99,654.87
Canada,2017,156536173,2119.33,199.55,63.86,252.57,81.07,149.12
Spain,2021,160796349,89.95,175.44,170.56,171.26,55.68,158.7
Norway,2019,49125660,1236.28,23.47,41.87,69.55,52.38,10.54
Kenya,2014,93471809,1798.01,229.78,151.97,100.46,6.97,473.42
Japan,2013,143276204,2154.46,240.18,67.25,282.87,40.6,89.82
Canada,2020,38628464,2440.13,183.36,78.64,193.58,48.85,260.65
Chile,2017,180652297,1480.6,44.66,55.23,208.11,16.46,585.78
Kenya,2011,50877199,1513.92,230.34,174.16,70.16,55.9,749.98
Canada,2020,22886060,610.23,245.61,30.22,266.17,12.99,570.08
Chile,2024,5058989,677.73,63.14,12.2,80.71,14.72,11.01
Spain,2024,198651652,1060.74,42.42,74.52,265.12,36.61,306.52
Canada,2017,45662774,1139.19,200.0,6.01,10.92,28.5,92.73
Spain,2015,102786209,419.04,19.68,169.53,293.52,35.42,788.37
Norway,2010,117782475,2357.26,42.08,160.16,51.35,14.11,172.38
Chile,2023,189152315,1394.2,231.47,97.22,199.88,31.77,85.77
Brazil,2025,43228984,155.17,1.95,15.77,248.05,61.26,389.46
Spain,2010,57553518,443.66,73.66,14.75,253.91,32.75,324.0
Spain,2018,26464368,1611.83,97.49,66.78,117.53,21.79,45.25
Canada,2024,72706116,581.08,67.87,11.1,226.91,65.07,77.71
Spain,2023,160303487,584.23,16.18,69.68,159.16,91.91,552.78
Kenya,2017,129845683,761.15,99.31,153.71,15.24,56.41,418.29
Chile,2013,122538186,448.74,246.11,174.99,243.5,16.36,344.47
Chile,2016,170369755,386.74,149.17,57.55,219.5,77.66,78.75
Brazil,2020,76142093,1308.83,229.37,2.23,211.62,57.88,627.53
Brazil,2023,42169305,387.54,147.4,136.51,282.2,88.24,454.52
Kenya,2019,145783016,2202.74,219.6,47.54,198.16,56.48,383.71
Norway,2018,110172499,376.75,152.56,124.86,16.44,85.06,271.88
Spain,2011,129565411,2303.67,224.36,3.64,246.13,32.27,231.47
Brazil,2013,63191852,353.28,243.58,79.76,248.62,29.25,339.25
Kenya,2016,120572397,544.25,206.17,133.37,229.05,83.05,658.6
Norway,2012,85516469,1779.73,101.44,140.49,159.66,56.18,147.25
Chile,2011,68972033,102.02,13.59,64.87,63.74,38.15,376.73
Canada,2013,184851350,95.8,93.74,106.93,57.39,83.34,473.64
Norway,2021,45892851,2097.38,65.41,149.56,31.67,7.47,49.22
India,2017,175779717,578.28,52.48,117.29,156.42,82.82,774.04
Japan,2025,37517792,1625.48,150.68,1.52,79.46,77.46,251.31
Brazil,2023,103059358,2131.93,115.29,39.28,94.13,51.86,502.65
Brazil,2010,139308416,2498.58,241.65,151.09,170.63,58.44,233.31
Japan,2025,19136128,853.98,69.84,58.52,86.68,64.05,762.23
Canada,2016,42246338,1302.89,60.84,10.22,257.91,77.9,329.24
Norway,2014,195617984,83.13,124.85,53.21,272.54,41.41,592.02
Japan,2020,197031746,1789.16,171.89,114.9,145.34,89.66,293.21
Kenya,2015,178527096,2193.71,46.1,17.57,42.74,28.28,648.59
Japan,2020,177673463,241.46,89.47,133.96,95.59,75.93,271.74
Norway,2019,126489795,2131.01,118.16,155.95,177.15,89.99,66.26
Chile,2013,184723414,966.54,75.29,9.73,257.0,17.36,168.23
India,2024,40446440,804.63,179.2,140.21,148.84,61.79,149.69
Brazil,2010,123347114,698.35,190.54,30.35,230.52,49.06,613.22
Canada,2014,166948149,1095.6,107.92,77.22,145.83,5.42,431.69
Canada,2010,88493429,1896.98,133.23,3.22,6.22,71.02,188.75
Spain,2019,36609599,274.72,126.33,55.1,24.26,9.11,759.29
Chile,2020,118411123,2222.18,248.87,61.69,270.91,37.33,158.86
India,2010,63315567,576.32,246.24,38.01,11.46,50.42,107.3
India,2022,173884882,654.36,134.15,8.75,298.43,64.58,526.32
India,2011,187153288,307.16,111.63,22.25,79.56,68.17,172.34
Brazil,2019,114976821,1660.93,165.96,48.6,183.66,17.34,666.22
Norway,2013,77888520,302.75,27.46,35.76,63.93,28.67,423.29
Norway,2021,190827364,1036.2,40.93,98.66,273.56,66.94,389.72
Brazil,2010,5422390,1685.65,226.81,150.34,202.36,18.42,81.17
India,2013,70690512,1617.96,114.73,175.91,82.92,9.51,652.41
Kenya,2019,98694387,2007.96,78.86,132.94,33.02,73.24,46.25
Kenya,2015,90224219,906.67,109.99,111.93,264.15,13.37,653.82
Kenya,2013,109582895,1012.62,114.68,150.43,208.52,48.04,343.17
Spain,2013,37570805,1746.5,15.6,169.64,52.02,42.44,476.69
Kenya,2015,166100810,961.78,90.29,5.19,206.92,80.47,779.02
Norway,2025,133029461,300.08,103.41,8.28,82.18,33.28,566.61
Chile,2020,141344759,1317.3,175.44,17.14,200.21,27.37,283.14
Spain,2014,151879389,2232.31,153.62,2.1,280.64,50.5,380.74
